Regions_NR;Region_navn_postDK;KOMMUNE_NR;Kommune_navn_postDK;POSTNR;BYNAVN;Type of Area;Type of Area (specific);kommune_CVR;mapDK_kommune;Region_nr;Region;Landsdel_nr;Landsdel;Kommune 2007 og frem;Kommunenavn;Kommune_sammenlægning
1081;Region Nordjylland;846;Mariagerfjord Kommune;9500;Hobro;Minor provincial cities (10-100,000 inhabitants);Minor Provincial city (10-25,000 inhabitants);MARIAGERFJORD;mariagerfjord;1081;Nordjylland;11;Nordjylland;846;Mariagerfjord;719 Mariager (del af), 793 Aalestrup (del af), 801 Arden, 815 Hadsund, 823 Hobro, 833 Nørager (del af)
1081;Region Nordjylland;846;Mariagerfjord Kommune;9510;Arden;Rural;Rural (less than 3,000 inhabitants;MARIAGERFJORD;mariagerfjord;1081;Nordjylland;11;Nordjylland;846;Mariagerfjord;719 Mariager (del af), 793 Aalestrup (del af), 801 Arden, 815 Hadsund, 823 Hobro, 833 Nørager (del af)
1081;Region Nordjylland;846;Mariagerfjord Kommune;9550;Mariager;Rural;Rural (less than 3,000 inhabitants;MARIAGERFJORD;mariagerfjord;1081;Nordjylland;11;Nordjylland;846;Mariagerfjord;719 Mariager (del af), 793 Aalestrup (del af), 801 Arden, 815 Hadsund, 823 Hobro, 833 Nørager (del af)
1081;Region Nordjylland;846;Mariagerfjord Kommune;9560;Hadsund;Rural;Tiny provincial city (3-10,000 inhabitants);MARIAGERFJORD;mariagerfjord;1081;Nordjylland;11;Nordjylland;846;Mariagerfjord;719 Mariager (del af), 793 Aalestrup (del af), 801 Arden, 815 Hadsund, 823 Hobro, 833 Nørager (del af)
1081;Region Nordjylland;846;Mariagerfjord Kommune;9620;Aalestrup;Rural;Rural (less than 3,000 inhabitants;MARIAGERFJORD;mariagerfjord;1081;Nordjylland;11;Nordjylland;846;Mariagerfjord;719 Mariager (del af), 793 Aalestrup (del af), 801 Arden, 815 Hadsund, 823 Hobro, 833 Nørager (del af)
1081;Region Nordjylland;846;Mariagerfjord Kommune;9632;Møldrup;Rural;Rural (less than 3,000 inhabitants;MARIAGERFJORD;mariagerfjord;1081;Nordjylland;11;Nordjylland;846;Mariagerfjord;719 Mariager (del af), 793 Aalestrup (del af), 801 Arden, 815 Hadsund, 823 Hobro, 833 Nørager (del af)
1081;Region Nordjylland;849;Jammerbugt Kommune;9381;Sulsted;Rural;Rural (less than 3,000 inhabitants;JAMMERBUGT;jammerbugt;1081;Nordjylland;11;Nordjylland;849;Jammerbugt;803 Brovst, 811 Fjerritslev, 835 Pandrup, 849 Aabybro
1081;Region Nordjylland;849;Jammerbugt Kommune;9382;Tylstrup;Rural;Rural (less than 3,000 inhabitants;JAMMERBUGT;jammerbugt;1081;Nordjylland;11;Nordjylland;849;Jammerbugt;803 Brovst, 811 Fjerritslev, 835 Pandrup, 849 Aabybro
1081;Region Nordjylland;849;Jammerbugt Kommune;9430;Vadum;Rural;Rural (less than 3,000 inhabitants;JAMMERBUGT;jammerbugt;1081;Nordjylland;11;Nordjylland;849;Jammerbugt;803 Brovst, 811 Fjerritslev, 835 Pandrup, 849 Aabybro
1081;Region Nordjylland;849;Jammerbugt Kommune;9440;Aabybro;Rural;Tiny provincial city (3-10,000 inhabitants);JAMMERBUGT;jammerbugt;1081;Nordjylland;11;Nordjylland;849;Jammerbugt;803 Brovst, 811 Fjerritslev, 835 Pandrup, 849 Aabybro
1081;Region Nordjylland;849;Jammerbugt Kommune;9460;Brovst;Rural;Rural (less than 3,000 inhabitants;JAMMERBUGT;jammerbugt;1081;Nordjylland;11;Nordjylland;849;Jammerbugt;803 Brovst, 811 Fjerritslev, 835 Pandrup, 849 Aabybro
1081;Region Nordjylland;849;Jammerbugt Kommune;9480;Løkken;Rural;Rural (less than 3,000 inhabitants;JAMMERBUGT;jammerbugt;1081;Nordjylland;11;Nordjylland;849;Jammerbugt;803 Brovst, 811 Fjerritslev, 835 Pandrup, 849 Aabybro
1081;Region Nordjylland;849;Jammerbugt Kommune;9490;Pandrup;Rural;Rural (less than 3,000 inhabitants;JAMMERBUGT;jammerbugt;1081;Nordjylland;11;Nordjylland;849;Jammerbugt;803 Brovst, 811 Fjerritslev, 835 Pandrup, 849 Aabybro
1081;Region Nordjylland;849;Jammerbugt Kommune;9492;Blokhus;Rural;Rural (less than 3,000 inhabitants;JAMMERBUGT;jammerbugt;1081;Nordjylland;11;Nordjylland;849;Jammerbugt;803 Brovst, 811 Fjerritslev, 835 Pandrup, 849 Aabybro
1081;Region Nordjylland;849;Jammerbugt Kommune;9493;Saltum;Rural;Rural (less than 3,000 inhabitants;JAMMERBUGT;jammerbugt;1081;Nordjylland;11;Nordjylland;849;Jammerbugt;803 Brovst, 811 Fjerritslev, 835 Pandrup, 849 Aabybro
1081;Region Nordjylland;849;Jammerbugt Kommune;9670;Løgstør;Rural;Tiny provincial city (3-10,000 inhabitants);JAMMERBUGT;jammerbugt;1081;Nordjylland;11;Nordjylland;849;Jammerbugt;803 Brovst, 811 Fjerritslev, 835 Pandrup, 849 Aabybro
1081;Region Nordjylland;849;Jammerbugt Kommune;9690;Fjerritslev;Rural;Tiny provincial city (3-10,000 inhabitants);JAMMERBUGT;jammerbugt;1081;Nordjylland;11;Nordjylland;849;Jammerbugt;803 Brovst, 811 Fjerritslev, 835 Pandrup, 849 Aabybro
1081;Region Nordjylland;849;Jammerbugt Kommune;9700;Brønderslev;Minor provincial cities (10-100,000 inhabitants);Minor Provincial city (10-25,000 inhabitants);JAMMERBUGT;jammerbugt;1081;Nordjylland;11;Nordjylland;849;Jammerbugt;803 Brovst, 811 Fjerritslev, 835 Pandrup, 849 Aabybro
1081;Region Nordjylland;851;Aalborg Kommune;9000;Aalborg;Major provincial city (+100,000 inhabitants);Major provincial city (+100,000 inhabitants);AALBORG;aalborg;1081;Nordjylland;11;Nordjylland;851;Aalborg;817 Hals, 831 Nibe, 837 Sejlflod, 851 Aalborg
1081;Region Nordjylland;851;Aalborg Kommune;9200;Aalborg SV;Major provincial city (+100,000 inhabitants);Major provincial city (+100,000 inhabitants);AALBORG;aalborg;1081;Nordjylland;11;Nordjylland;851;Aalborg;817 Hals, 831 Nibe, 837 Sejlflod, 851 Aalborg
1081;Region Nordjylland;851;Aalborg Kommune;9210;Aalborg SØ;Major provincial city (+100,000 inhabitants);Major provincial city (+100,000 inhabitants);AALBORG;aalborg;1081;Nordjylland;11;Nordjylland;851;Aalborg;817 Hals, 831 Nibe, 837 Sejlflod, 851 Aalborg
1081;Region Nordjylland;851;Aalborg Kommune;9220;Aalborg Øst;Major provincial city (+100,000 inhabitants);Major provincial city (+100,000 inhabitants);AALBORG;aalborg;1081;Nordjylland;11;Nordjylland;851;Aalborg;817 Hals, 831 Nibe, 837 Sejlflod, 851 Aalborg
1081;Region Nordjylland;851;Aalborg Kommune;9230;Svenstrup J;Rural;Rural (less than 3,000 inhabitants;AALBORG;aalborg;1081;Nordjylland;11;Nordjylland;851;Aalborg;817 Hals, 831 Nibe, 837 Sejlflod, 851 Aalborg
1081;Region Nordjylland;851;Aalborg Kommune;9240;Nibe;Rural;Tiny provincial city (3-10,000 inhabitants);AALBORG;aalborg;1081;Nordjylland;11;Nordjylland;851;Aalborg;817 Hals, 831 Nibe, 837 Sejlflod, 851 Aalborg
